sales_key,customer_key,movie_key,store_key,date_key,sales_amount
1000,1295,1152,1000,35,2.99000001
1001,395,1152,1000,35,2.99000001
1002,586,1286,1001,76,3.99000001
1003,1486,1286,1001,76,3.99000001
1004,584,1980,1001,76,2.99000001
1005,1484,1980,1001,76,2.99000001
1006,554,1906,1000,3,1.99000001
1007,1454,1906,1000,3,1.99000001
1008,286,1363,1000,37,8.989999771
1009,1186,1363,1000,37,8.989999771
1010,250,1228,1000,76,4.989999771
1011,1150,1228,1000,76,4.989999771
1012,1295,1319,1000,35,4.989999771
1013,395,1319,1000,35,4.989999771
1014,1420,1010,1000,37,3.99000001
1015,520,1010,1000,37,3.99000001
1016,618,1867,1000,76,4.989999771
1017,1518,1867,1000,76,4.989999771
1018,629,1175,1001,76,3.99000001
1019,1529,1175,1001,76,3.99000001
1020,586,1169,1000,76,7.989999771
1021,1486,1169,1000,76,7.989999771
1022,1293,1747,1000,76,0.99000001
1023,393,1747,1000,76,0.99000001
1024,654,1978,1000,76,7.989999771
1025,1554,1978,1000,76,7.989999771
1026,259,1287,1001,76,2.99000001
1027,1159,1287,1001,76,2.99000001
1028,261,1618,1000,76,0.99000001
1029,1161,1618,1000,76,0.99000001
1030,220,1868,1001,3,2.99000001
1031,1120,1868,1001,3,2.99000001
1032,225,1138,1000,76,6.989999771
1033,1125,1138,1000,76,6.989999771
1034,1252,1021,1000,37,2.99000001
1035,352,1021,1000,37,2.99000001
1036,286,1900,1000,76,2.99000001
1037,1186,1900,1000,76,2.99000001
1038,450,1044,1000,76,7.989999771
1039,1350,1044,1000,76,7.989999771
1040,159,1910,1001,76,4.989999771
1041,1059,1910,1001,76,4.989999771
1042,1295,1078,1000,37,2.99000001
1043,395,1078,1000,37,2.99000001
1044,684,1719,1000,76,6.989999771
1045,1584,1719,1000,76,6.989999771
1046,559,1752,1000,37,3.99000001
1047,1459,1752,1000,37,3.99000001
1048,1293,1927,1000,76,2.99000001
1049,393,1927,1000,76,2.99000001
1050,250,1273,1001,35,5.989999771
1051,1150,1273,1001,35,5.989999771
1052,593,1319,1000,37,4.989999771
1053,1493,1319,1000,37,4.989999771
1054,695,1627,1000,76,3.99000001
1055,1595,1627,1000,76,3.99000001
1056,1384,1128,1001,76,2.99000001
1057,484,1128,1001,76,2.99000001
1058,227,1361,1000,76,2.99000001
1059,1127,1361,1000,76,2.99000001
1060,663,1023,1000,3,2.99000001
1061,1563,1023,1000,3,2.99000001
1062,663,1553,1000,76,2.99000001
1063,1563,1553,1000,76,2.99000001
1064,593,1058,1000,37,6.989999771
1065,1493,1058,1000,37,6.989999771
1066,661,1544,1001,35,0.99000001
1067,1561,1544,1001,35,0.99000001
1068,552,1394,1001,37,0.99000001
1069,1452,1394,1001,37,0.99000001
1070,159,1377,1000,37,2.99000001
1071,1059,1377,1000,37,2.99000001
1072,1025,1704,1000,37,2.99000001
1073,593,1707,1000,76,4.989999771
1074,1493,1707,1000,76,4.989999771
1075,1384,1306,1000,76,4.989999771
1076,484,1306,1000,76,4.989999771
1077,150,1713,1001,35,2.99000001
1078,1050,1713,1001,35,2.99000001
1079,195,1667,1001,76,4.989999771
1080,1095,1667,1001,76,4.989999771
1081,218,1892,1000,37,4.989999771
1082,1118,1892,1000,37,4.989999771
1083,186,1542,1000,3,4.989999771
1084,1086,1542,1000,3,4.989999771
1085,184,1326,1000,76,7.989999771
1086,1084,1326,1000,76,7.989999771
1087,293,1368,1001,35,7.989999771
1088,1193,1368,1001,35,7.989999771
1089,663,1623,1001,76,6.989999771
1090,1563,1623,1001,76,6.989999771
1091,1195,1235,1001,1,5.989999771
1092,295,1235,1001,1,5.989999771
1093,152,1553,1001,35,2.99000001
1094,1052,1553,1001,35,2.99000001
1095,195,1352,1001,35,4.989999771
1096,1095,1352,1001,35,4.989999771
1097,1225,1176,1001,37,4.989999771
1098,325,1176,1001,37,4.989999771
1099,1220,1858,1001,37,8.989999771
1100,320,1858,1001,37,8.989999771
